1.0000 0.0000
0.9997 0.0001
0.9990 0.0003
0.9977 0.0006
0.9960 0.0011
0.9937 0.0017
0.9910 0.0024
0.9877 0.0032
0.9840 0.0042
0.9797 0.0052
0.9750 0.0064
0.9698 0.0076
0.9642 0.0089
0.9581 0.0103
0.9515 0.0118
0.9444 0.0133
0.9369 0.0148
0.9290 0.0165
0.9206 0.0181
0.9118 0.0198
0.9026 0.0216
0.8930 0.0233
0.8830 0.0251
0.8726 0.0269
0.8619 0.0287
0.8507 0.0305
0.8393 0.0323
0.8274 0.0341
0.8153 0.0359
0.8028 0.0376
0.7900 0.0393
0.7770 0.0409
0.7636 0.0425
0.7500 0.0440
0.7361 0.0454
0.7220 0.0468
0.7077 0.0480
0.6932 0.0492
0.6784 0.0503
0.6635 0.0512
0.6485 0.0521
0.6332 0.0529
0.6179 0.0536
0.6024 0.0541
0.5868 0.0546
0.5712 0.0551
0.5554 0.0554
0.5396 0.0557
0.5238 0.0559
0.5079 0.0560
0.4921 0.0561
0.4762 0.0561
0.4604 0.0561
0.4446 0.0560
0.4288 0.0559
0.4132 0.0558
0.3976 0.0555
0.3821 0.0552
0.3668 0.0549
0.3515 0.0545
0.3365 0.0540
0.3216 0.0535
0.3068 0.0529
0.2923 0.0523
0.2780 0.0516
0.2639 0.0508
0.2500 0.0500
0.2364 0.0491
0.2230 0.0481
0.2100 0.0471
0.1972 0.0461
0.1847 0.0450
0.1726 0.0439
0.1607 0.0428
0.1493 0.0417
0.1381 0.0405
0.1274 0.0393
0.1170 0.0381
0.1070 0.0369
0.0974 0.0357
0.0882 0.0345
0.0794 0.0332
0.0710 0.0319
0.0631 0.0306
0.0556 0.0292
0.0485 0.0278
0.0419 0.0263
0.0358 0.0247
0.0302 0.0231
0.0250 0.0214
0.0203 0.0196
0.0160 0.0177
0.0123 0.0157
0.0090 0.0136
0.0063 0.0115
0.0040 0.0093
0.0023 0.0070
0.0010 0.0047
0.0003 0.0024
0.0000 -0.0000
0.0003 -0.0003
0.0010 -0.0005
0.0023 -0.0008
0.0040 -0.0011
0.0063 -0.0014
0.0090 -0.0018
0.0123 -0.0023
0.0160 -0.0028
0.0203 -0.0034
0.0250 -0.0040
0.0302 -0.0047
0.0358 -0.0055
0.0419 -0.0064
0.0485 -0.0074
0.0556 -0.0085
0.0631 -0.0097
0.0710 -0.0110
0.0794 -0.0123
0.0882 -0.0137
0.0974 -0.0152
0.1070 -0.0168
0.1170 -0.0184
0.1274 -0.0201
0.1381 -0.0217
0.1493 -0.0234
0.1607 -0.0251
0.1726 -0.0268
0.1847 -0.0284
0.1972 -0.0300
0.2100 -0.0316
0.2230 -0.0330
0.2364 -0.0344
0.2500 -0.0358
0.2639 -0.0370
0.2780 -0.0381
0.2923 -0.0391
0.3068 -0.0399
0.3216 -0.0407
0.3365 -0.0413
0.3515 -0.0418
0.3668 -0.0422
0.3821 -0.0424
0.3976 -0.0425
0.4132 -0.0425
0.4288 -0.0423
0.4446 -0.0420
0.4604 -0.0415
0.4762 -0.0409
0.4921 -0.0402
0.5079 -0.0393
0.5238 -0.0382
0.5396 -0.0370
0.5554 -0.0357
0.5712 -0.0342
0.5868 -0.0326
0.6024 -0.0309
0.6179 -0.0291
0.6332 -0.0271
0.6485 -0.0251
0.6635 -0.0230
0.6784 -0.0209
0.6932 -0.0188
0.7077 -0.0166
0.7220 -0.0145
0.7361 -0.0124
0.7500 -0.0104
0.7636 -0.0084
0.7770 -0.0066
0.7900 -0.0049
0.8028 -0.0033
0.8153 -0.0018
0.8274 -0.0005
0.8393 0.0006
0.8507 0.0015
0.8619 0.0023
0.8726 0.0030
0.8830 0.0034
0.8930 0.0038
0.9026 0.0040
0.9118 0.0040
0.9206 0.0040
0.9290 0.0039
0.9369 0.0037
0.9444 0.0035
0.9515 0.0032
0.9581 0.0028
0.9642 0.0025
0.9698 0.0022
0.9750 0.0018
0.9797 0.0015
0.9840 0.0012
0.9877 0.0009
0.9910 0.0007
0.9937 0.0005
0.9960 0.0003
0.9977 0.0002
0.9990 0.0001
0.9997 0.0000
1.0000 0.0000
