
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.820
  alpha =   -1.204    CLtot =    0.545
  beta  =    0.000

  Sref  =   364.93301
  Bref  =    58.00000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.272184         0.507374E-01
    0.0353  0.255762         0.460603E-01
    0.1059  0.223599         0.375669E-01
    0.1765  0.193214         0.301816E-01
    0.2471  0.165345         0.238286E-01
    0.3183  0.140025         0.183737E-01
    0.3901  0.116736         0.137499E-01
    0.4618  0.952017E-01     0.993327E-02
    0.5336  0.754604E-01     0.685996E-02
    0.6053  0.576123E-01     0.446356E-02
    0.6771  0.417766E-01     0.267375E-02
    0.7488  0.280813E-01     0.141573E-02
    0.8206  0.166613E-01     0.610000E-03
    0.8924  0.766030E-02     0.172012E-03
    0.9641  0.126106E-02     0.113547E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.272184        -0.507374E-01
   -0.0353  0.255762        -0.460603E-01
   -0.1059  0.223599        -0.375669E-01
   -0.1765  0.193214        -0.301816E-01
   -0.2471  0.165345        -0.238286E-01
   -0.3183  0.140025        -0.183737E-01
   -0.3901  0.116736        -0.137499E-01
   -0.4618  0.952017E-01    -0.993327E-02
   -0.5336  0.754604E-01    -0.685996E-02
   -0.6053  0.576123E-01    -0.446356E-02
   -0.6771  0.417766E-01    -0.267375E-02
   -0.7488  0.280813E-01    -0.141573E-02
   -0.8206  0.166613E-01    -0.610000E-03
   -0.8924  0.766030E-02    -0.172012E-03
   -0.9641  0.126106E-02    -0.113547E-04
   -1.0000   0.00000          0.00000    
